InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,ContactEmail
530972,72043,assorted colour bird ornament,38,2011-02-03 06:49:46.773547,37.68,12619.0,United Kingdom,contact@shop.com
533123,18920,POPPY'S PLAYHOUSE BEDROOM,49,2011-02-04 00:46:10.340681,49.15,17114.0,France,contact@shop.com
537677,85340,POPPY'S PLAYHOUSE BEDROOM,29,2011-02-04 18:42:33.907815,20.38,,France,hello@retail.co.uk
538321,85920,SET 7 BABUSHKA NESTING BOXES,-2,2011-02-05 12:38:57.474949,25.24,13444.0,France,not-an-email
534351,82061,WHITE HANGING HEART T-LIGHT HOLDER,20,2011-02-06 06:35:21.042084,-0.36,15386.0,Germany,contact@shop.com
538046,91237,n/a,16,2011-02-07 00:31:44.609218,39.6,17494.0,eire,contact@shop.com
538416,31588,,40,2011-02-07 18:28:08.176352,25.53,14713.0,France,not-an-email
533874,98160,WHITE HANGING HEART T-LIGHT HOLDER,13,2011-02-08 12:24:31.743486,19.81,15194.0,Germany,user@@bad.com
538979,38862,n/a,9,2011-02-09 06:20:55.310621,3.8,17775.0,France,hello@retail.co.uk
532882,82181,n/a,-6,2011-02-10 00:17:18.877755,44.37,16865.0,United Kingdom,not-an-email
532395,62142,,40,2011-02-10 18:13:42.444889,19.15,17586.0,France,user@@bad.com
536824,80152,POPPY'S PLAYHOUSE BEDROOM,35,2011-02-11 12:10:06.012024,33.81,15584.0,,contact@shop.com
536366,66503,WHITE HANGING HEART T-LIGHT HOLDER,-8,2011-02-12 06:06:29.579158,6.62,14978.0,eire,contact@shop.com
531397,67822,WHITE HANGING HEART T-LIGHT HOLDER,16,2011-02-13 00:02:53.146292,48.04,17815.0,United Kingdom,contact@shop.com
538326,65464,SET 7 BABUSHKA NESTING BOXES,18,2011-02-13 17:59:16.713426,8.1,16032.0,  Spain,hello@retail.co.uk
531998,80108,assorted colour bird ornament,18,2011-02-14 11:55:40.280561,9.18,17821.0,France,
538048,76513,RED WOOLLY HOTTIE WHITE HEART.,45,2011-02-15 05:52:03.847695,42.81,14505.0,  Spain,hello@retail.co.uk
530073,22109,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-02-15 23:48:27.414829,45.54,17114.0,France,contact@shop.com
537967,84344,assorted colour bird ornament,8,2011-02-16 17:44:50.981963,9.82,13022.0,United Kingdom,contact@shop.com
537868,58245,POPPY'S PLAYHOUSE BEDROOM,0,2011-02-17 11:41:14.549098,22.96,14549.0,France,hello@retail.co.uk
537802,39077,assorted colour bird ornament,4,2011-02-18 05:37:38.116232,36.41,17196.0,France,contact@shop.com
536647,56279,POPPY'S PLAYHOUSE BEDROOM,44,2011-02-18 23:34:01.683366,43.8,14152.0,United Kingdom,contact@shop.com
534715,97027,POPPY'S PLAYHOUSE BEDROOM,46,2011-02-19 17:30:25.250501,18.33,16032.0,United Kingdom,
537050,87180,GLASS STAR FROSTED T-LIGHT HOLDER,-8,2011-02-20 11:26:48.817635,25.37,14991.0,,user@@bad.com
532770,85032,GLASS STAR FROSTED T-LIGHT HOLDER,27,2011-02-21 05:23:12.384769,36.83,16682.0,eire,not-an-email
537806,51651,POPPY'S PLAYHOUSE BEDROOM,3,2011-02-21 23:19:35.951903,36.29,16791.0,Germany,
535555,80571,SET 7 BABUSHKA NESTING BOXES,1,2011-02-22 17:15:59.519038,38.93,15185.0,,user@@bad.com
534588,44657,WHITE HANGING HEART T-LIGHT HOLDER,7,2011-02-23 11:12:23.086172,28.07,17460.0,France,
535055,71754,POPPY'S PLAYHOUSE BEDROOM,1,2011-02-24 05:08:46.653306,4.34,14962.0,Germany,not-an-email
535686,67560,SET 7 BABUSHKA NESTING BOXES,19,2011-02-24 23:05:10.220440,45.1,15156.0,United Kingdom,contact@shop.com
530372,32481,n/a,49,2011-02-25 17:01:33.787575,43.14,12499.0,  Spain,
531397,33981,,25,2011-02-26 10:57:57.354709,39.7,13125.0,Germany,hello@retail.co.uk
532454,15501,POPPY'S PLAYHOUSE BEDROOM,33,2011-02-27 04:54:20.921843,4.09,12373.0,France,user@@bad.com
531145,22579,WHITE HANGING HEART T-LIGHT HOLDER,19,2011-02-27 22:50:44.488977,9.42,14978.0,United Kingdom,hello@retail.co.uk
534395,49025,assorted colour bird ornament,-10,2011-02-28 16:47:08.056112,36.92,13544.0,United Kingdom,contact@shop.com
536683,53008,,-5,2011-03-01 10:43:31.623246,0.18,15218.0,France,contact@shop.com
536543,24860,,6,2011-03-02 04:39:55.190380,48.94,12373.0,United Kingdom,
534710,47519,SET 7 BABUSHKA NESTING BOXES,4,2011-03-02 22:36:18.757515,18.23,14219.0,  Spain,contact@shop.com
538549,64375,n/a,40,2011-03-03 16:32:42.324649,35.68,17543.0,eire,
535651,30931,,40,2011-03-04 10:29:05.891783,44.27,12460.0,United Kingdom,hello@retail.co.uk
530791,40440,POPPY'S PLAYHOUSE BEDROOM,41,2011-03-05 04:25:29.458917,19.13,17596.0,France,not-an-email
537649,43075,,28,2011-03-05 22:21:53.026052,15.28,15828.0,France,
535745,55454,WHITE HANGING HEART T-LIGHT HOLDER,23,2011-03-06 16:18:16.593186,30.05,17527.0,Germany,user@@bad.com
536346,42974,n/a,28,2011-03-07 10:14:40.160320,28.63,12373.0,,contact@shop.com
535653,76324,RED WOOLLY HOTTIE WHITE HEART.,14,2011-03-08 04:11:03.727454,19.87,15032.0,  Spain,hello@retail.co.uk
535535,39474,SET 7 BABUSHKA NESTING BOXES,30,2011-03-08 22:07:27.294589,29.69,16032.0,United Kingdom,not-an-email
530905,49050,POPPY'S PLAYHOUSE BEDROOM,37,2011-03-09 16:03:50.861723,46.7,15535.0,France,hello@retail.co.uk
535591,44151,n/a,35,2011-03-10 10:00:14.428857,22.85,15157.0,United Kingdom,user@@bad.com
537948,26462,n/a,26,2011-03-11 03:56:37.995991,9.03,14706.0,United Kingdom,contact@shop.com
533039,71716,,-7,2011-03-11 21:53:01.563126,18.24,15157.0,France,user@@bad.com
536027,31189,POPPY'S PLAYHOUSE BEDROOM,33,2011-03-12 15:49:25.130260,19.1,14549.0,eire,contact@shop.com
530308,36718,SET 7 BABUSHKA NESTING BOXES,11,2011-03-13 09:45:48.697394,5.69,14246.0,United Kingdom,
533474,81346,assorted colour bird ornament,34,2011-03-14 03:42:12.264529,7.31,17738.0,,hello@retail.co.uk
534366,95396,GLASS STAR FROSTED T-LIGHT HOLDER,22,2011-03-14 21:38:35.831663,33.91,17609.0,,hello@retail.co.uk
539826,70375,WHITE HANGING HEART T-LIGHT HOLDER,42,2011-03-15 15:34:59.398797,16.31,13924.0,eire,hello@retail.co.uk
532145,92470,,10,2011-03-16 09:31:22.965931,47.7,13436.0,Germany,
532765,86876,,45,2011-03-17 03:27:46.533066,11.42,17930.0,United Kingdom,
534084,53281,SET 7 BABUSHKA NESTING BOXES,40,2011-03-17 21:24:10.100200,4.05,15003.0,  Spain,not-an-email
539925,79325,SET 7 BABUSHKA NESTING BOXES,9,2011-03-18 15:20:33.667334,37.43,12423.0,eire,hello@retail.co.uk
538533,39552,GLASS STAR FROSTED T-LIGHT HOLDER,18,2011-03-19 09:16:57.234468,43.93,12423.0,United Kingdom,
530346,51444,WHITE HANGING HEART T-LIGHT HOLDER,21,2011-03-20 03:13:20.801603,13.18,17109.0,  Spain,user@@bad.com
532339,58188,RED WOOLLY HOTTIE WHITE HEART.,36,2011-03-20 21:09:44.368737,9.31,13625.0,United Kingdom,not-an-email
538215,96443,POPPY'S PLAYHOUSE BEDROOM,31,2011-03-21 15:06:07.935871,8.47,12619.0,United Kingdom,user@@bad.com
530582,86369,SET 7 BABUSHKA NESTING BOXES,41,2011-03-22 09:02:31.503006,25.62,17596.0,United Kingdom,not-an-email
538555,54032,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-03-23 02:58:55.070140,22.89,15185.0,France,user@@bad.com
532813,68732,GLASS STAR FROSTED T-LIGHT HOLDER,20,2011-03-23 20:55:18.637274,12.23,14706.0,,contact@shop.com
539175,28211,GLASS STAR FROSTED T-LIGHT HOLDER,15,2011-03-24 14:51:42.204408,1.3,12265.0,United Kingdom,contact@shop.com
532935,82394,,44,2011-03-25 08:48:05.771543,23.56,15156.0,United Kingdom,not-an-email
534342,59772,,8,2011-03-26 02:44:29.338677,47.93,14713.0,,
536618,57944,POPPY'S PLAYHOUSE BEDROOM,25,2011-03-26 20:40:52.905811,32.28,12620.0,eire,user@@bad.com
531262,78964,n/a,-3,2011-03-27 14:37:16.472945,24.27,15584.0,United Kingdom,not-an-email
535569,66961,SET 7 BABUSHKA NESTING BOXES,41,2011-03-28 08:33:40.040080,4.65,15390.0,,contact@shop.com
535049,16521,assorted colour bird ornament,13,2011-03-29 02:30:03.607214,11.87,14713.0,France,not-an-email
537838,35933,n/a,10,2011-03-29 20:26:27.174348,14.03,17821.0,eire,
539960,25904,WHITE HANGING HEART T-LIGHT HOLDER,24,2011-03-30 14:22:50.741482,38.0,14991.0,,
536642,76139,POPPY'S PLAYHOUSE BEDROOM,19,2011-03-31 08:19:14.308617,43.71,13466.0,United Kingdom,user@@bad.com
534091,13163,,40,2011-04-01 02:15:37.875751,44.98,13444.0,United Kingdom,not-an-email
534063,28216,n/a,21,2011-04-01 20:12:01.442885,49.21,12623.0,United Kingdom,user@@bad.com
534179,63769,GLASS STAR FROSTED T-LIGHT HOLDER,21,2011-04-02 14:08:25.010020,49.1,16151.0,France,user@@bad.com
538139,72531,POPPY'S PLAYHOUSE BEDROOM,-4,2011-04-03 08:04:48.577154,47.6,14758.0,United Kingdom,user@@bad.com
533211,55296,RED WOOLLY HOTTIE WHITE HEART.,-9,2011-04-04 02:01:12.144288,2.66,16000.0,  Spain,
531669,87463,RED WOOLLY HOTTIE WHITE HEART.,13,2011-04-04 19:57:35.711422,6.03,17494.0,Germany,hello@retail.co.uk
533342,92703,n/a,49,2011-04-05 13:53:59.278557,14.53,17133.0,Germany,not-an-email
530227,21889,GLASS STAR FROSTED T-LIGHT HOLDER,45,2011-04-06 07:50:22.845691,27.2,13738.0,United Kingdom,user@@bad.com
531061,95725,GLASS STAR FROSTED T-LIGHT HOLDER,27,2011-04-07 01:46:46.412825,3.95,12619.0,,contact@shop.com
530900,65293,RED WOOLLY HOTTIE WHITE HEART.,27,2011-04-07 19:43:09.979959,42.14,14219.0,France,contact@shop.com
537714,67259,RED WOOLLY HOTTIE WHITE HEART.,13,2011-04-08 13:39:33.547094,30.45,14979.0,Germany,hello@retail.co.uk
537222,18558,POPPY'S PLAYHOUSE BEDROOM,0,2011-04-09 07:35:57.114228,26.66,17738.0,eire,
536967,65967,SET 7 BABUSHKA NESTING BOXES,-10,2011-04-10 01:32:20.681362,7.43,13625.0,  Spain,user@@bad.com
534618,75313,GLASS STAR FROSTED T-LIGHT HOLDER,10,2011-04-10 19:28:44.248496,11.92,16682.0,eire,user@@bad.com
537169,62270,SET 7 BABUSHKA NESTING BOXES,8,2011-04-11 13:25:07.815631,7.18,17480.0,eire,user@@bad.com
531612,17604,SET 7 BABUSHKA NESTING BOXES,1,2011-04-12 07:21:31.382765,42.45,15386.0,  Spain,not-an-email
539005,57089,RED WOOLLY HOTTIE WHITE HEART.,5,2011-04-13 01:17:54.949899,28.8,17586.0,,contact@shop.com
535009,94233,n/a,-9,2011-04-13 19:14:18.517034,36.49,14219.0,Germany,contact@shop.com
539379,75106,n/a,26,2011-04-14 13:10:42.084168,14.1,15717.0,United Kingdom,hello@retail.co.uk
531522,22366,WHITE HANGING HEART T-LIGHT HOLDER,45,2011-04-15 07:07:05.651302,17.93,16768.0,United Kingdom,not-an-email
534972,96393,SET 7 BABUSHKA NESTING BOXES,31,2011-04-16 01:03:29.218436,19.65,13088.0,,
536962,96298,GLASS STAR FROSTED T-LIGHT HOLDER,unknown,2011-04-16 18:59:52.785571,37.76,14443.0,,
534955,25245,,15,2011-04-17 12:56:16.352705,38.39,16812.0,United Kingdom,contact@shop.com
534461,82078,assorted colour bird ornament,8,2011-04-18 06:52:39.919839,9.55,15461.0,France,
531661,46604,SET 7 BABUSHKA NESTING BOXES,-2,2011-04-19 00:49:03.486973,47.02,13466.0,United Kingdom,contact@shop.com
533809,63430,WHITE HANGING HEART T-LIGHT HOLDER,25,2011-04-19 18:45:27.054108,5.15,17114.0,United Kingdom,contact@shop.com
532387,50066,SET 7 BABUSHKA NESTING BOXES,23,2011-04-20 12:41:50.621242,44.7,12518.0,Germany,contact@shop.com
533014,80435,GLASS STAR FROSTED T-LIGHT HOLDER,-10,2011-04-21 06:38:14.188376,4.12,15185.0,  Spain,hello@retail.co.uk
536836,99698,RED WOOLLY HOTTIE WHITE HEART.,14,2011-04-22 00:34:37.755511,12.49,12518.0,France,
536302,81559,POPPY'S PLAYHOUSE BEDROOM,6,2011-04-22 18:31:01.322645,42.17,15584.0,eire,hello@retail.co.uk
536071,93822,WHITE HANGING HEART T-LIGHT HOLDER,0,2011-04-23 12:27:24.889779,8.15,16383.0,United Kingdom,
533617,95141,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-04-24 06:23:48.456913,20.09,14338.0,France,not-an-email
539595,18109,GLASS STAR FROSTED T-LIGHT HOLDER,21,2011-04-25 00:20:12.024048,21.94,13926.0,Germany,user@@bad.com
530876,32804,GLASS STAR FROSTED T-LIGHT HOLDER,28,2011-04-25 18:16:35.591182,11.51,15194.0,United Kingdom,hello@retail.co.uk
533425,74966,SET 7 BABUSHKA NESTING BOXES,32,2011-04-26 12:12:59.158316,35.22,16082.0,eire,
531179,63106,SET 7 BABUSHKA NESTING BOXES,48,2011-04-27 06:09:22.725450,42.42,17527.0,,contact@shop.com
533389,14513,WHITE HANGING HEART T-LIGHT HOLDER,38,2011-04-28 00:05:46.292585,43.6,12963.0,United Kingdom,not-an-email
539618,18554,assorted colour bird ornament,27,2011-04-28 18:02:09.859719,16.31,14962.0,United Kingdom,hello@retail.co.uk
533662,56848,,42,2011-04-29 11:58:33.426853,26.07,17179.0,United Kingdom,
539084,65454,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-04-30 05:54:56.993987,11.67,12963.0,,hello@retail.co.uk
534950,25094,,49,2011-04-30 23:51:20.561122,11.48,17109.0,France,
536996,25416,n/a,35,2011-05-01 17:47:44.128256,7.22,17543.0,,contact@shop.com
534573,21640,SET 7 BABUSHKA NESTING BOXES,29,2011-05-02 11:44:07.695390,46.94,17614.0,Germany,hello@retail.co.uk
532658,60844,n/a,unknown,2011-05-03 05:40:31.262525,44.29,17109.0,Germany,user@@bad.com
537641,10706,SET 7 BABUSHKA NESTING BOXES,20,2011-05-03 23:36:54.829659,38.65,17527.0,Germany,user@@bad.com
539690,61518,RED WOOLLY HOTTIE WHITE HEART.,33,2011-05-04 17:33:18.396793,25.4,17892.0,  Spain,hello@retail.co.uk
532634,52833,SET 7 BABUSHKA NESTING BOXES,7,2011-05-05 11:29:41.963927,24.02,12373.0,  Spain,contact@shop.com
537786,51938,SET 7 BABUSHKA NESTING BOXES,47,2011-05-06 05:26:05.531062,26.02,14274.0,eire,hello@retail.co.uk
532611,71134,WHITE HANGING HEART T-LIGHT HOLDER,27,2011-05-06 23:22:29.098196,26.36,12265.0,United Kingdom,not-an-email
537168,57036,GLASS STAR FROSTED T-LIGHT HOLDER,36,2011-05-07 17:18:52.665330,21.16,15156.0,,hello@retail.co.uk
537889,75496,SET 7 BABUSHKA NESTING BOXES,17,2011-05-08 11:15:16.232464,5.72,12567.0,France,contact@shop.com
534493,78752,assorted colour bird ornament,42,2011-05-09 05:11:39.799599,5.41,16831.0,United Kingdom,
537368,92809,,-6,2011-05-09 23:08:03.366733,47.56,14302.0,  Spain,user@@bad.com
532722,81931,,-4,2011-05-10 17:04:26.933867,23.58,13924.0,Germany,contact@shop.com
530792,56593,,20,2011-05-11 11:00:50.501002,47.61,17543.0,  Spain,contact@shop.com
530963,54293,RED WOOLLY HOTTIE WHITE HEART.,33,2011-05-12 04:57:14.068136,7.34,17892.0,,hello@retail.co.uk
534469,31213,assorted colour bird ornament,38,2011-05-12 22:53:37.635270,27.28,17781.0,United Kingdom,contact@shop.com
539025,63962,WHITE HANGING HEART T-LIGHT HOLDER,16,2011-05-13 16:50:01.202404,9.59,13975.0,France,user@@bad.com
531275,22522,assorted colour bird ornament,28,2011-05-14 10:46:24.769539,11.91,14638.0,eire,hello@retail.co.uk
534557,93810,n/a,23,2011-05-15 04:42:48.336673,0.53,14238.0,United Kingdom,user@@bad.com
537039,86053,POPPY'S PLAYHOUSE BEDROOM,47,2011-05-15 22:39:11.903807,5.07,14407.0,  Spain,
532023,20775,,29,2011-05-16 16:35:35.470941,45.76,13544.0,Germany,
537215,80735,SET 7 BABUSHKA NESTING BOXES,15,2011-05-17 10:31:59.038076,15.4,14102.0,  Spain,user@@bad.com
533059,20539,POPPY'S PLAYHOUSE BEDROOM,48,2011-05-18 04:28:22.605210,30.01,17871.0,,
538085,74909,SET 7 BABUSHKA NESTING BOXES,-4,2011-05-18 22:24:46.172344,22.72,12623.0,eire,
535791,17893,,49,2011-05-19 16:21:09.739478,19.42,14452.0,,contact@shop.com
